channel_name,subscribers,video_num,total_view,vs_index,vv_index,cpi,genres,moods
라디오국 김피디[RADIO... ,8180,102,5456552,667,53496,612,"R&B / Soul (국내), Ballad (국내), Folk (국내)",모든 분위기
"Dear Lord, 디어 로드",7990,52,2117511,265,40721,1260,"R&B / Soul (국내), Rap / Hip-hop (국내)",모든 분위기
모카페 playlist,7290,30,2947118,404,98237,3566,"Dance (국내), R&B / Soul (국내), Folk (국내)",모든 분위기
시우연 [𝐏𝐥𝐚𝐲𝐥𝐢𝐬𝐭],7690,106,1853696,241,17488,496,Dance (국내),모든 분위기
갬성충아이쓰,7540,109,5414218,718,49672,26384,"Pop (J-Pop), R&B / Soul (J-Pop)",모든 분위기
라던 LADAWN,7430,51,6316958,850,123862,225018,Folk (국내),모든 분위기
𝐅𝐫𝐞𝐞𝐝𝐨𝐦,20000,258,13380489,669,51862,374,"Blues (국외), Country (국외), Electronica (국외), Folk (국외), Pop (국외), EDM (국외), R&B / Soul (국외), Rap / Hip-hop (국외), Rock (국외), CCM (국외), Jazz (국외), OST (국외)",모든 분위기
영이playlist,6820,31,3937371,577,127012,4796,Dance (국내),모든 분위기
Copro Music 코프로 뮤직,8570,10,1891722,221,189172,-,"Blues (국외), Country (국외), Electronica (국외), Folk (국외), Pop (국외), EDM (국외), R&B / Soul (국외), Jazz (국외), OST (국외), Ballad (국내), Dance (국내), Rock (국내), Electronica (국내), OST (국내)",모든 분위기
루프 LOOP,6880,7,6690486,972,955784,1480,"R&B / Soul (국내), Ballad (국내), Folk (국내)",모든 분위기
1006_oi,7200,82,2955842,411,36047,899,OST (국외),모든 분위기
손다로우쉬SONDAROWSHI,6780,69,1944191,287,28177,840,"R&B / Soul (국내), Ballad (국내), Folk (국내)",모든 분위기
로지밍rozyming,7900,67,2758580,349,41173,2686,New Age,모든 분위기
채소용 𝗣𝗹𝗮𝘆𝗹𝗶𝘀𝘁,6540,2,1966406,301,983203,12751,New Age,모든 분위기
